"Dependency","Version","License"
"@fontsource/open-sans","4.5.13","MIT"
"@fortawesome/fontawesome-free","6.2.0","OFL-1.1-no-RFN"
"@popperjs/core","2.11.6","MIT"
"bootstrap","5.2.2","MIT"
"jquery","3.6.1","MIT"
"plotly.js-dist-min","2.16.1","MIT"
