"Dependency","Version","License"
"@fortawesome/fontawesome-free","6.4.2","OFL-1.1-no-RFN"
"@popperjs/core","2.11.8","MIT"
"bootstrap","5.3.0","MIT"
"vue","2.6.12","MIT"
