"Dependency","Version","License"
"@babel/parser","7.22.5","MIT"
"@fortawesome/fontawesome-free","6.4.0","OFL-1.1-no-RFN"
"@popperjs/core","2.11.8","MIT"
"@vue/compiler-sfc","2.7.14","MIT"
"bootstrap","5.3.0","MIT"
"csstype","3.1.2","MIT"
"nanoid","3.3.6","MIT"
"picocolors","1.0.0","ISC"
"postcss","8.4.24","MIT"
"source-map-js","1.0.2","BSD-3-Clause"
"source-map","0.6.1","BSD-3-Clause"
"vue","2.7.14","MIT"
